_id,N_Processo,Orgao,Situacao_Orgao,Modalidade,Objeto,Itens_Licitado,Valor_Total_Previsto,Valor_Total_Realizado,Quant_Licitada,N_Edital,Data_Publicação,Data_Abertura,CPF_CNPJ,Razao_Social
1,11/006.734/2019,SEFAZ,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE FITA MAGNÉTICA PARA BACKUP,"Fita LTO - Tipo: Ultrium 5, Capacidade: 1.5TB (sem compressão) e 3TB (com compressão).",6101 4000000000000000,6000 0000000000000000,30 00000000,0004/2019,20191007,20191022,33083775000127,APS WORK COMERCIO E SERVICOS LTDA EPP
2,11/006.734/2019,SEFAZ,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE FITA MAGNÉTICA PARA BACKUP,"Fita LTO - Tipo: Ultrium 6, Capacidade: 2.5TB (sem compressão) e 6.25TB (com compressão).",38032 8000000000000000,37998 3000000000000000,230 00000000,0004/2019,20191007,20191022,33083775000127,APS WORK COMERCIO E SERVICOS LTDA EPP
3,57/500.025/2019,AGEHAB,Ativo,TOMADA DE PREÇOS,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Jardim Pantanal I  município de Aquidauana/MS.,Serviço de obras do Estado/Municípios não Imobilizáveis,636989 8600000000000000,450351 8000000000000000,1 00000000,0003/2019,20191007,20191023,36779403000128,GBA Serviços e Construções Ltda-ME
4,57/500.100/2019,AGEHAB,Ativo,CONVITE,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Jardim Bonanza   município de Caarapó/MS.,Serviço de obras do Estado/Municípios não Imobilizáveis,270574 8900000000000000,182096 9000000000000000,1 00000000,0006/2019,20191007,20191021,34146553000179,V. SANTANA DOS SANTOS EIRELI
5,11/006.734/2019,SEFAZ,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE FITA MAGNÉTICA PARA BACKUP,"Fita LTO - Tipo: Ultrium 5, Capacidade: 1.5TB (sem compressão) e 3TB (com compressão).",6101 4000000000000000,6000 0000000000000000,30 00000000,0004/2019,20191007,20191022,33083775000127,APS WORK COMERCIO E SERVICOS LTDA EPP
6,11/006.734/2019,SEFAZ,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE FITA MAGNÉTICA PARA BACKUP,"Fita LTO - Tipo: Ultrium 6, Capacidade: 2.5TB (sem compressão) e 6.25TB (com compressão).",38032 8000000000000000,37998 3000000000000000,230 00000000,0004/2019,20191007,20191022,33083775000127,APS WORK COMERCIO E SERVICOS LTDA EPP
7,57/500.025/2019,AGEHAB,Ativo,TOMADA DE PREÇOS,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Jardim Pantanal I  município de Aquidauana/MS.,Serviço de obras do Estado/Municípios não Imobilizáveis,636989 8600000000000000,450351 8000000000000000,1 00000000,0003/2019,20191007,20191023,36779403000128,GBA Serviços e Construções Ltda-ME
8,57/500.100/2019,AGEHAB,Ativo,CONVITE,Execução das obras de construção de bases para unidades habitacionais  com área unitária de 42 56 m²  no Loteamento Jardim Bonanza   município de Caarapó/MS.,Serviço de obras do Estado/Municípios não Imobilizáveis,270574 8900000000000000,182096 9000000000000000,1 00000000,0006/2019,20191007,20191021,34146553000179,V. SANTANA DOS SANTOS EIRELI
9,27/000.839/2019,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE PASTA SUSPENSA,"Pasta - Tipo: suspensa lateral / pendular, Modelo: suspensa, Acompanha: suporte em material plástico rígido, Material: cartão timbó marmorizado 350 g/m²,  Medida mínima: 235 a 265 x 365 mm (A X L), Utilização: arquivo deslizante, distancia entre Ganchos: 24 cm, Outras características: vincos na parte inferior, Visor: em acrílico transparente, Contendo: etiqueta de papel para identificação  com pre",67050 0000000000000000,62437 5000000000000000,11250 00000000,0027/2019,20191008,20190909,10592265000180,MARY CARLA JACOB
10,27/000.839/2019,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE PASTA SUSPENSA,"Pasta - Tipo: suspensa lateral / pendular, Modelo: suspensa, Acompanha: suporte em material plástico rígido, Material: cartão timbó marmorizado 350 g/m²,  Medida mínima: 235 a 265 x 365 mm (A X L), Utilização: arquivo deslizante, distancia entre Ganchos: 24 cm, Outras características: vincos na parte inferior, Visor: em acrílico transparente, Contendo: etiqueta de papel para identificação  com pre",22350 0000000000000000,20812 5000000000000000,3750 00000000,0027/2019,20191008,20190909,20299623000114,FABIO EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI
11,27/000.839/2019,FESA,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE PASTA SUSPENSA,"Pasta - Tipo: suspensa lateral / pendular, Modelo: suspensa, Acompanha: suporte em material plástico rígido, Material: cartão timbó marmorizado 350 g/m²,  Medida mínima: 235 a 265 x 365 mm (A X L), Utilização: arquivo deslizante, distancia entre Ganchos: 24 cm, Outras características: vincos na parte inferior, Visor: em acrílico transparente, Contendo: etiqueta de papel para identificação  com pre",89400 0000000000000000,62437 5000000000000000,11250 00000000,0027/2019,20191008,20190909,10592265000180,MARY CARLA JACOB
12,31/701.771/2019,DETRAN,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MATERIAIS PARA PREMIAÇÃO,"Aparelho telefônico - Tipo: smarthphone, Memória interna: não inferior a 16Gb expansível, Tela: tamanho não inferior a 5 polegadas  com touchscreem capacitiva  multitouch  16 milhões de cores, Câmera: câmera traseira com resolução não inferior a 8Mp para fotos  recursos autofoco  HDR e flash led  gravação de vídeo em 30fps com resolução HD 720p ou superior, Deve acompanhar: carregador de bateria ",3315 3600000000000000,3300 0000000000000000,3 00000000,0004/2019,20191009,20191204,20299623000114,FABIO EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI
13,31/701.771/2019,DETRAN,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MATERIAIS PARA PREMIAÇÃO,"Aparelho telefônico - Tipo: smarthphone, Memória interna: não inferior a 16Gb expansível, Tela: tamanho não inferior a 5 polegadas  com touchscreem capacitiva  multitouch  16 milhões de cores, Câmera: câmera traseira com resolução não inferior a 8Mp para fotos  recursos autofoco  HDR e flash led  gravação de vídeo em 30fps com resolução HD 720p ou superior, Deve acompanhar: carregador de bateria ",3315 3600000000000000,3300 0000000000000000,3 00000000,0004/2019,20191009,20191204,20299623000114,FABIO EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI
14,29/011.917/2019,SED,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM TRANSPORTE ESCOLAR RURAL EE. JOAQUIM MALAQUIAS DA SILVA LINHA VACHIANO NOTURNO MUNICÍPIO DE CAMAPUÃ/MS DISTRITO DE PONTINHA DO COCHO,Locação de veículo para transporte escolar,174977 0000000000000000,171600 0000000000000000,11 00000000,0012/2019,20191015,20191028,8394430000147,TRANSPICCOLI TRANSPORTES LTDA.
15,29/011.917/2019,SED,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM TRANSPORTE ESCOLAR RURAL EE. JOAQUIM MALAQUIAS DA SILVA LINHA VACHIANO NOTURNO MUNICÍPIO DE CAMAPUÃ/MS DISTRITO DE PONTINHA DO COCHO,Locação de veículo para transporte escolar,174977 0000000000000000,171600 0000000000000000,11 00000000,0012/2019,20191015,20191028,8394430000147,TRANSPICCOLI TRANSPORTES LTDA.
16,27/001.950/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS GRÁFICOS,Serviço gráfico (impressos em geral  encadernação  folder  banner e/ou outros),31693 3300000000000000,21700 0000000000000000,1 00000000,0011/2019,20191022,20191104,2001655000100,REZENDE & DINIZ NETO LTDA EPP
17,27/001.950/2018,FESA,Ativo,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS GRÁFICOS,Serviço gráfico (impressos em geral  encadernação  folder  banner e/ou outros),31693 3300000000000000,21700 0000000000000000,1 00000000,0011/2019,20191022,20191104,2001655000100,REZENDE & DINIZ NETO LTDA EPP
18,71/200.182/2019,JUCEMS - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de Módulo de Expansão de Storage e Licença Oracle Database Standard Edition Two,"Módulo de expansão de storage - Tipo: módulo de expansão de storage (DAE – Disk Array Enclosure), Compatibilidade: com storage EMC VNX 5600, Medidas: compatível com rack de 19’’, Armazenamento : possuir instalado no mínimo 25 (vinte e cinco) discos SAS de 6 Gbps  de 10.000 rotações por minuto  com capacidade mínima de 1.2TB  Interface de conexão com tecnologia SAS e com suas respectivas gavetas pa",456092 9000000000000000,340000 0000000000000000,1 00000000,0002/2019,20191025,20191107,10862298000100,CLICK TI TECNOLOGIA LTDA
19,71/200.182/2019,JUCEMS - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de Módulo de Expansão de Storage e Licença Oracle Database Standard Edition Two,"Software - Tipo: Oracle Database Standard Edition 2, Requisito: com suporte e atualização do software por um prazo de 12 meses, subscrição: perpétua.",113619 1600000000000000,101800 0000000000000000,1 00000000,0002/2019,20191025,20191107,10452500000118,ACCERTE TECNOLOGIA DA INFORMAÇÃO LTDA - MATRIZ
20,71/200.182/2019,JUCEMS - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de Módulo de Expansão de Storage e Licença Oracle Database Standard Edition Two,"Módulo de expansão de storage - Tipo: módulo de expansão de storage (DAE – Disk Array Enclosure), Compatibilidade: com storage EMC VNX 5600, Medidas: compatível com rack de 19’’, Armazenamento : possuir instalado no mínimo 25 (vinte e cinco) discos SAS de 6 Gbps  de 10.000 rotações por minuto  com capacidade mínima de 1.2TB  Interface de conexão com tecnologia SAS e com suas respectivas gavetas pa",456092 9000000000000000,340000 0000000000000000,1 00000000,0002/2019,20191025,20191107,10862298000100,CLICK TI TECNOLOGIA LTDA
21,71/200.182/2019,JUCEMS - Inativo - 2022,Inativo,PREGÃO ELETRÔNICO,Aquisição de Módulo de Expansão de Storage e Licença Oracle Database Standard Edition Two,"Software - Tipo: Oracle Database Standard Edition 2, Requisito: com suporte e atualização do software por um prazo de 12 meses, subscrição: perpétua.",113619 1600000000000000,101800 0000000000000000,1 00000000,0002/2019,20191025,20191107,10452500000118,ACCERTE TECNOLOGIA DA INFORMAÇÃO LTDA - MATRIZ
22,31/500.172/2019,SEJUSP,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE CAIXA DE SOM  AMPLIFICADOR  FIO E MICROFONE,"Caixa - Tipo: som acústica passiva, Alto-falante: Woofer  no mínimo 5' e tweeter 1', Potência mínima: 40w RMS, Material do gabinete: polipropileno reforçado.",90204 0000000000000000,45990 0000000000000000,150 00000000,0012/2019,20191028,20191202,6305092000102,COMERCIAL ISOTOTAL LTDA.
23,31/500.172/2019,SEJUSP,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE CAIXA DE SOM  AMPLIFICADOR  FIO E MICROFONE,"Fio - Tipo: flexível paralelo, Material: cobre, Tensão: 300 v, Medida: 2 x 1 5 mm, Isolamento: PVC.",6344 0000000000000000,6344 0000000000000000,5200 00000000,0012/2019,20191028,20191202,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
24,31/500.172/2019,SEJUSP,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE CAIXA DE SOM  AMPLIFICADOR  FIO E MICROFONE,"Caixa - Tipo: som acústica passiva, Alto-falante: Woofer  no mínimo 5' e tweeter 1', Potência mínima: 40w RMS, Material do gabinete: polipropileno reforçado.",22551 0000000000000000,20000 0000000000000000,50 00000000,0012/2019,20191028,20191202,26994101000119,TERABRAS COMERCIAL LTDA
25,31/502.367/2018,SEJUSP,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE TELEVISORES,"Televisor - Tipo: Smart TV LED, Tamanho da tela: 43', Formato da tela: widescreen 16:9, Resolução: Full HD, Voltagem: bivolt, Dados Complementares: com conversor digital embutido.",38256 0000000000000000,33238 8000000000000000,24 00000000,0006/2019,20191028,20191108,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
26,31/502.367/2018,SEJUSP,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE TELEVISORES,"Televisor - Tipo: Smart TV LED, Tamanho da tela: 43', Formato da tela: widescreen 16:9, Resolução: Full HD, Voltagem: bivolt, Dados Complementares: com conversor digital embutido.",33239 0400000000000000,33238 8000000000000000,24 00000000,0006/2019,20191028,20191108,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
27,29/040.778/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE TELEVISOR,"Televisor - Tipo: tv led, Tamanho da tela: 60 polegadas, Formato da tela: widescreen (16:9)   de 1920x1080 (Full HD: 1080p), Resolução: no mínimo 1.000.000:1 de contraste Closed caption  de 1920x1080 (Full HD: 1080p), Dados Complementares: conversor de tv digital integrado  suporte/base para mesa no mínimo os sinais de vídeo de tv analógica. seguintes entradas: 02 hdmi  01 áudio/vídeo composto  01",3962 8100000000000000,3140 0000000000000000,1 00000000,0027/2019,20191030,20191111,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
28,29/040.659/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MESA E CADEIRA,"Mesa - Tipo: retangular, Dados Complementares:  Pata fabricada em chapa de aço com espessura de 1 5 mm  estampada e repuxada  medindo 60 x 520 x 70 mm  com furos superiores para conexão com a coluna  coluna dupla  fabricada em chapa de aço com espessura de 0 9 mm  dobrada em forma de meia cana, unidas pelo processo de solda MIG por chapas, Medida: 1400 x 600 x 740 mm (L x P x A), Material do Tampo",8400 0000000000000000,8190 0000000000000000,15 00000000,0026/2019,20191030,20191111,2741293000193,NACIONAL COMERCIO DE EMBALAGENS LTDA.
29,29/040.659/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MESA E CADEIRA,"Cadeira - Tipo: fixa  estofada sem braços, Assento e encosto: bipartidos confeccionados em madeira compensada com espessura mínima de 10 mm, estofamento com almofadas de espuma de poliuretano flexível  bordas arredondadas com espessuras mínimas de 30 mm para o encosto e 40 mm para o assento, Capa: de proteção em polipropileno texturizado., Base: fixa com 04 pernas em tubo de aço curvado pneumatica",6185 6000000000000000,6080 0000000000000000,32 00000000,0026/2019,20191030,20191111,20299623000114,FABIO EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI
30,29/040.780/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE LOUSA INTERATIVA,"Lousa - Tipo: digital interativa, Tamanho da tela: no minimo 89', Material: aço porcelanizado, Acompanha: suporte de parede  01 caneta  cabo USB 2.0 de no mínimo 4 metros  manual de Instruções em Português do Brasil  software de operação em português e tudo que for necessário para seu perfeito funcionamento, Conexão: usb, Compatibilidade: Microsoft Windows  Mac  Linux e Android, Alimentação: bivol",3003 3100000000000000,2990 0000000000000000,1 00000000,0028/2019,20191030,20191111,33455535000106,PALHANO E CIA LTDA
31,29/040.586/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MICROCOMPUTADOR,"Microcomputador - Tipo: Desktop, Processador: padrão X86 com núcleo duplo de no mínimo de 3.5 GHz de frequência de base  memória cache de no mínimo 3MB, Placa mãe: com chipset do mesmo fabricante do processador, Desenvolvida pelo mesmo fabricante do equipamento, Barramento de memória: 2133MHz com suporte a no mínimo 32 GB de memória RAM e suporte à tecnologia Dual-Channel, Memória RAM tipo/quantid",59090 2200000000000000,42280 0000000000000000,14 00000000,0024/2019,20191030,20191129,33455535000106,PALHANO E CIA LTDA
32,29/040.618/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE PROJETOR MULTIMÍDIA,"Projetor - Tipo: 3000 ANSI Lumens, Tecnologia de formação de imagem: 3LCD ou DLP, Resolução: VGA  SVGA  XGA e HDTV (480i  480p  576i  576p  720p  1080i  1080p), Lâmpada: de mercúrio de alta pressão de no mínimo 190 watts  mínimo 3000 ANSI lumens   com vida útil de no mínimo 4.500 horas em modo normal e no mínimo 6.000 horas em modo econômico, Sistema de cores: PAL  PAL-N  PAL-M  NTSC  NTSC4.43 e S",2300 1700000000000000,1990 0000000000000000,1 00000000,0025/2019,20191030,20191111,33455535000106,PALHANO E CIA LTDA
33,29/040.778/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE TELEVISOR,"Televisor - Tipo: tv led, Tamanho da tela: 60 polegadas, Formato da tela: widescreen (16:9)   de 1920x1080 (Full HD: 1080p), Resolução: no mínimo 1.000.000:1 de contraste Closed caption  de 1920x1080 (Full HD: 1080p), Dados Complementares: conversor de tv digital integrado  suporte/base para mesa no mínimo os sinais de vídeo de tv analógica. seguintes entradas: 02 hdmi  01 áudio/vídeo composto  01",3962 8100000000000000,3140 0000000000000000,1 00000000,0027/2019,20191030,20191111,18272465000167,MB COMÉRCIO DE MAQUINAS  FERRAMENTAS E SERVIÇOS LTDA
34,29/040.659/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MESA E CADEIRA,"Mesa - Tipo: retangular, Dados Complementares:  Pata fabricada em chapa de aço com espessura de 1 5 mm  estampada e repuxada  medindo 60 x 520 x 70 mm  com furos superiores para conexão com a coluna  coluna dupla  fabricada em chapa de aço com espessura de 0 9 mm  dobrada em forma de meia cana, unidas pelo processo de solda MIG por chapas, Medida: 1400 x 600 x 740 mm (L x P x A), Material do Tampo",8400 0000000000000000,8190 0000000000000000,15 00000000,0026/2019,20191030,20191111,2741293000193,NACIONAL COMERCIO DE EMBALAGENS LTDA.
35,29/040.659/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MESA E CADEIRA,"Cadeira - Tipo: fixa  estofada sem braços, Assento e encosto: bipartidos confeccionados em madeira compensada com espessura mínima de 10 mm, estofamento com almofadas de espuma de poliuretano flexível  bordas arredondadas com espessuras mínimas de 30 mm para o encosto e 40 mm para o assento, Capa: de proteção em polipropileno texturizado., Base: fixa com 04 pernas em tubo de aço curvado pneumatica",6185 6000000000000000,6080 0000000000000000,32 00000000,0026/2019,20191030,20191111,20299623000114,FABIO EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA EIRELI
36,29/040.780/2019,SED,Ativo,PREGÃO ELETRÔNICO,AQUISIÇÃO DE LOUSA INTERATIVA,"Lousa - Tipo: digital interativa, Tamanho da tela: no minimo 89', Material: aço porcelanizado, Acompanha: suporte de parede  01 caneta  cabo USB 2.0 de no mínimo 4 metros  manual de Instruções em Português do Brasil  software de operação em português e tudo que for necessário para seu perfeito funcionamento, Conexão: usb, Compatibilidade: Microsoft Windows  Mac  Linux e Android, Alimentação: bivol",3003 3100000000000000,2990 0000000000000000,1 00000000,0028/2019,20191030,20191111,33455535000106,PALHANO E CIA LTDA
